SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,Lat,Long
CB3506,300 W 12TH ST,Single-Space,FLAT,$0.50 ,4HR,34.039568,-118.262534
WA1668A,1201 ALVARADO ST,Single-Space,FLAT,$1.00 ,1HR,34.047682,-118.282546
VW1252,1001 VERMONT AVE,Single-Space,FLAT,$1.00 ,1HR,34.051534,-118.291717
SV619,1500 N HIGHLAND AVE,Single-Space,FLAT,$0.50 ,2HR,34.099312,-118.338555
CP275,7100 N OWENSMOUTH AVE,Single-Space,FLAT,$1.00 ,2HR,34.199509,-118.601465
CB2614,401 E 8TH ST,Single-Space,TOD,$0.50 - $5.00,2HR,34.040455,-118.250618
WW1061,600 OXFORD AVE,Single-Space,FLAT,$1.00 ,1HR,34.063109,-118.307773
P226,800 N ALMA REAL DR,Single-Space,FLAT,$1.00 ,2HR,34.044325,-118.524683
WN291,601 AVALON BLVD,Single-Space,FLAT,$0.50 ,2HR,33.777738,-118.262361
WA486,600 PARK VIEW ST,Single-Space,FLAT,$1.00 ,2HR,34.060392,-118.278903
CB1148,901 S HILL ST,Single-Space,FLAT,$1.50 ,4HR,34.042523,-118.257725
VN1006,14401 W GILMORE ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.187711,-118.448378
BF369,600 N EDINBURGH AVE,Single-Space,FLAT,$1.00 ,2HR,34.083521,-118.363684
PB219,1401 S ORANGE GROVE AVE,Single-Space,FLAT,$1.00 ,2HR,34.051034,-118.365638
WV509,10901 W LE CONTE AVE,Single-Space,TOD,$0.50 - $2.00,2HR,34.063769,-118.445692
PB411,1400 S MANSFIELD AVE,Single-Space,FLAT,$1.00 ,2HR,34.047488,-118.345909
ER85,2100 MERTON AVE,Single-Space,FLAT,$1.00 ,2HR,34.138014,-118.213887
CB702,800 S MAPLE AVE,Single-Space,TOD,$3.00 - $5.00,2HR,34.040511,-118.25144
SV141,1501 N SCHRADER BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,34.098557,-118.332531
HW303,5101 W HOLLYWOOD BLVD,Single-Space,FLAT,$1.00 ,1HR,34.101845,-118.302247
C1084,601 32ND ST,Single-Space,FLAT,$1.00 ,2HR,34.023808,-118.279436
BF597,701 N SWEETZER AVE,Single-Space,FLAT,$1.00 ,2HR,34.0839,-118.370372
WN279,101 G ST,Single-Space,FLAT,$0.50 ,2HR,33.77854,-118.263406
WW1668,3401 8TH ST,Single-Space,FLAT,$1.00 ,1HR,34.057767,-118.304961
PM1,10400 W NATIONAL BLVD,Single-Space,FLAT,$1.00 ,1HR,34.028692,-118.411531
SV110,6501 W SUNSET BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,34.098093,-118.331505
C1231,900 30TH ST,Single-Space,FLAT,$1.00 ,4HR,34.026671,-118.282009
AE606A,700 DUCOMMUN ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.051732,-118.231628
AE77,601 TRACTION AVE,Single-Space,FLAT,$1.00 ,4HR,34.045994,-118.236673
WU438,651 WITMER ST,Single-Space,FLAT,$1.00 ,2HR,34.053349,-118.267029
SH302,6600 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00 ,1HR,34.090635,-118.335171
CB4026,301 W 5TH ST,Single-Space,FLAT,$3.00 ,2HR,34.048522,-118.251273
VW1880,200 CATALINA ST,Single-Space,FLAT,$1.00 ,2HR,34.069265,-118.295353
WU112,500 COLUMBIA AVE,Single-Space,FLAT,$1.00 ,2HR,34.056087,-118.266027
WS515,1800 S PONTIUS AVE,Single-Space,FLAT,$1.00 ,2HR,34.04493,-118.442702
CB126,1401 S HOPE ST,Single-Space,TOD,$1.50 - $2.00,4HR,34.038401,-118.266475
WA1255,100 ALVARADO ST,Single-Space,FLAT,$1.00 ,1HR,34.064145,-118.271806
ER92,5000 EAGLE ROCK BLVD,Single-Space,FLAT,$1.00 ,1HR,34.138249,-118.21415
LM311,7401 W MELROSE AVE,Single-Space,FLAT,$1.00 ,2HR,34.083705,-118.352712
WU1137,700 GARLAND AVE,Single-Space,FLAT,$1.00 ,2HR,34.049887,-118.267419
VW369,601 CATALINA ST,Single-Space,FLAT,$1.00 ,1HR,34.062359,-118.295439
WW2008,3801 WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.061799,-118.309731
ED35,501 S CERES AVE,Single-Space,FLAT,$0.50 ,4HR,34.040239,-118.241077
VW716,3301 WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.061882,-118.294583
WW892,600 KINGSLEY DR,Single-Space,FLAT,$1.00 ,4HR,34.062125,-118.302784
WW907,601 KINGSLEY DR,Single-Space,FLAT,$1.00 ,4HR,34.063357,-118.302929
LT23,300 E 3RD ST,Single-Space,TOD,$0.50 - $4.00,2HR,34.047593,-118.243238
CC920,801 W CESAR E CHAVEZ BLVD,Single-Space,FLAT,$0.50 ,2HR,34.06148,-118.244726
WS29,1600 S WESTWOOD BLVD,Single-Space,FLAT,$1.00 ,2HR,34.052382,-118.43908
CB4113,100 W 17TH ST,Single-Space,FLAT,$0.50 ,4HR,34.033078,-118.263635
PB140,1301 S MASSELIN AVE,Single-Space,FLAT,$1.00 ,2HR,34.049453,-118.358293
LC63,8400 W ROMAINE ST,Single-Space,FLAT,$1.00 ,2HR,34.088744,-118.376097
SS211,11701 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00 ,1HR,34.043123,-118.457778
BF315,7901 W MELROSE AVE,Single-Space,FLAT,$1.00 ,2HR,34.083884,-118.363044
PB288,1400 S SIERRA BONITA AVE,Single-Space,FLAT,$1.00 ,2HR,34.049122,-118.358904
CB251,1400 S HILL ST,Single-Space,FLAT,$0.50 ,4HR,34.035576,-118.263726
P337,17300 W SUNSET BLVD,Single-Space,FLAT,$1.00 ,30MIN,34.040192,-118.553772
VN987,14400 W GILMORE ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.187603,-118.447116
C954,3650 VERMONT AVE,Single-Space,FLAT,$1.00 ,4HR,34.020736,-118.291402
CB2756,200 W OLYMPIC BL,Single-Space,TOD,$2.00 - $4.00,2HR,34.041037,-118.257729
CB855A,201 E PICO BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,34.035546,-118.258874
WW270,201 WESTERN AVE,Single-Space,FLAT,$1.00 ,1HR,34.069641,-118.309221
SH127,1101 N HIGHLAND AVE,Single-Space,FLAT,$1.00 ,2HR,34.092398,-118.338732
LC192,101 N FLORES ST,Single-Space,FLAT,$1.00 ,2HR,34.075648,-118.37114
MM679,5501 W WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,2HR,34.062455,-118.349732
P221,801 N ALMA REAL DR,Single-Space,FLAT,$1.00 ,2HR,34.044432,-118.524921
56833,10448 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,34.056518,-118.425156
L145,200 N LARCHMONT BLVD,Single-Space,FLAT,$1.00 ,2HR,34.075863,-118.32352
ED394A,700 E PICO BLVD,Single-Space,FLAT,$0.50 ,2HR,34.032136,-118.252715
WV16,901 S LEVERING AVE,Single-Space,TOD,$0.50 - $1.50,2HR,34.063162,-118.448759
OF58,5801 W SAN VICENTE BLVD,Single-Space,FLAT,$1.00 ,2HR,34.055899,-118.359415
WW528,650 HARVARD BLVD,Single-Space,FLAT,$1.00 ,2HR,34.0613,-118.304107
WA664,601 CORONADO ST,Single-Space,FLAT,$1.00 ,1HR,34.060824,-118.281299
WW1404,651 WESTERN AVE,Single-Space,FLAT,$1.00 ,1HR,34.060147,-118.309182
SS236,11801 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00 ,2HR,34.042236,-118.459789
SV654,1401 N LA BREA AVE,Single-Space,FLAT,$0.50 ,2HR,34.097143,-118.34423
PB131,1301 S CARMONA AVE,Single-Space,FLAT,$1.00 ,2HR,34.049143,-118.357447
CB1841,100 E WINSTON ST,Single-Space,TOD,$5.00 - $6.00,2HR,34.046817,-118.247146
CB3143,201 E 6TH ST,Single-Space,TOD,$0.50 - $5.00,2HR,34.044313,-118.2484
WB407,1800 S HOPE ST,Single-Space,FLAT,$0.50 ,4HR,34.034525,-118.268816
MD874,1200 CUMMINGS ST,Single-Space,FLAT,$1.00 ,4HR,34.058674,-118.205549
CB1853,201 E WINSTON ST,Single-Space,TOD,$2.00 - $5.00,2HR,34.045824,-118.245893
CT418,201 W ALPINE ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.062073,-118.237356
CC317A,301 N FIGUEROA ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.059429,-118.249682
LM627,101 N LA BREA AVE,Single-Space,FLAT,$1.00 ,2HR,34.074242,-118.344158
WB108,2200 S HILL ST,Single-Space,TOD,$0.50 - $2.00,4HR,34.029017,-118.268588
HO965,1701 N WHITLEY AVE,Single-Space,TOD,$1.50 - $3.00,2HR,34.102698,-118.333408
GA237,3101 LOS FELIZ BLVD,Single-Space,FLAT,$1.00 ,2HR,34.124516,-118.266805
WS266,10801 W LA GRANGE AVE,Single-Space,FLAT,$1.00 ,2HR,34.04646,-118.434629
WW348,3951 6TH ST,Single-Space,FLAT,$1.00 ,1HR,34.063599,-118.310005
SG292,7701 W SUNSET BLVD,Single-Space,FLAT,$1.00 ,1HR,34.09817,-118.35897
SP368,201 7TH ST,Single-Space,FLAT,$0.50 ,2HR,33.737755,-118.281657
MD370A,1400 EASTLAKE AVE,Single-Space,FLAT,$1.00 ,4HR,34.061975,-118.204542
WS126,10801 W WELLWORTH AVE,Single-Space,FLAT,$1.00 ,2HR,34.057198,-118.442042
52113,661 JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,1HR,34.02281,-118.281741
SL259,3001 SUNSET BLVD,Single-Space,FLAT,$1.00 ,2HR,34.083846,-118.273936
WA1070,1801 7TH ST,Single-Space,FLAT,$1.00 ,1HR,34.055125,-118.273663
SP362,201 7TH ST,Single-Space,FLAT,$0.50 ,2HR,33.737771,-118.28276
BH352,2501 1ST ST,Single-Space,FLAT,$1.00 ,2HR,34.042901,-118.20774
SS482,1800 S SAWTELLE BLVD,Single-Space,FLAT,$1.00 ,2HR,34.04271,-118.445073
WA808,2700 7TH ST,Single-Space,FLAT,$1.00 ,1HR,34.05945,-118.283643
OF21,1000 S FAIRFAX AVE,Single-Space,FLAT,$1.00 ,2HR,34.056049,-118.364712
C1016,1201 30TH ST,Single-Space,FLAT,$1.00 ,1HR,34.027488,-118.291021
PB118,1301 S RIDGELEY DR,Single-Space,FLAT,$1.00 ,4HR,34.048649,-118.355767
CB2855,1500 S OLIVE ST,Single-Space,FLAT,$1.00 ,30MIN,34.035394,-118.265108
LP293,3401 W 43RD PL,Single-Space,FLAT,$1.00 ,2HR,34.004323,-118.331876
SV348,6201 W SUNSET BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,34.098109,-118.324789
WW558,650 KINGSLEY DR,Single-Space,FLAT,$1.00 ,2HR,34.060654,-118.303014
AE139,201 HEWITT ST,Single-Space,FLAT,$1.00 ,4HR,34.046068,-118.236191
SH56,1100 N WILCOX AVE,Single-Space,FLAT,$1.00 ,1HR,34.090999,-118.330905
VS294,5101 SUNSET BLVD,Single-Space,FLAT,$1.00 ,1HR,34.098226,-118.301243
SL423,2800 SUNSET BLVD,Single-Space,FLAT,$1.00 ,2HR,34.082401,-118.272796
LM727,200 N LA BREA AVE,Single-Space,FLAT,$1.00 ,2HR,34.075473,-118.343917
52169,1141 JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,34.025597,-118.289954
CB692,800 S MAPLE AVE,Single-Space,TOD,$3.00 - $5.00,2HR,34.039977,-118.252057
CB2240,1201 S SAN JULIAN ST,Single-Space,TOD,$0.50 - $1.00,4HR,34.033814,-118.25488
WW1433,901 WESTERN AVE,Single-Space,FLAT,$1.00 ,1HR,34.055393,-118.309166
PC112,4200 W PICO BLVD,Single-Space,FLAT,$1.00 ,2HR,34.047798,-118.327557
LM279,701 N FULLER AVE,Single-Space,FLAT,$1.00 ,2HR,34.08376,-118.349882
PR71,1101 S ROBERTSON BLVD,Single-Space,FLAT,$1.00 ,2HR,34.056052,-118.383807
ED36,500 S CERES AVE,Single-Space,FLAT,$0.50 ,4HR,34.039967,-118.241142
MD20,1800 MARENGO ST,Single-Space,FLAT,$1.00 ,2HR,34.058372,-118.211671
WW1857,3800 INGRAHAM ST,Single-Space,FLAT,$1.00 ,2HR,34.060616,-118.309518
CB3210,200 W 8TH ST,Single-Space,TOD,$0.50 - $6.00,2HR,34.04348,-118.254368
SL390,3300 SUNSET BLVD,Single-Space,FLAT,$1.00 ,2HR,34.086909,-118.27568
ED475,700 S MERCHANT ST,Single-Space,FLAT,$0.50 ,4HR,34.034908,-118.243648
CB3703,600 S MAIN ST,Single-Space,TOD,$0.50 - $5.00,2HR,34.044937,-118.250137
CC818,200 N FREMONT AVE,Single-Space,FLAT,$0.50 ,2HR,34.059778,-118.250974
LT257,400 E 2ND ST,Single-Space,TOD,$0.50 - $4.00,2HR,34.047449,-118.239041
CC1034,800 W CESAR E CHAVEZ BLVD,Single-Space,FLAT,$0.50 ,4HR,34.06146,-118.245054
WP11,101 WASHINGTON BLVD,Single-Space,TOD,$0.50 - $2.00,1HR,33.980226,-118.465045
SA106A,1800 SUNSET BLVD,Single-Space,FLAT,$1.00 ,2HR,34.077828,-118.260082
VS1,4600 LEXINGTON AVE,Single-Space,FLAT,$1.00 ,2HR,34.093387,-118.291467
CC772,201 N FREMONT AVE,Single-Space,TOD,$0.50 - $1.50,2HR,34.059986,-118.250849
ED67,501 S CENTRAL AVE,Single-Space,FLAT,$0.50 ,4HR,34.039773,-118.240072
VN593,14400 W CALVERT ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.18161,-118.448211
PR159,1401 S ROBERTSON BLVD,Single-Space,FLAT,$1.00 ,2HR,34.053548,-118.384004
C960,3650 VERMONT AVE,Single-Space,FLAT,$1.00 ,4HR,34.021189,-118.291404
VW1125,2901 WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,4HR,34.061937,-118.28447
CB3219,300 W 8TH ST,Single-Space,TOD,$1.00 - $6.00,2HR,34.043979,-118.255154
AE394,701 TEMPLE ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.050202,-118.233028
SL26,2800 HYPERION AVE,Single-Space,FLAT,$1.00 ,2HR,34.108224,-118.271649
CC276,601 W 1ST ST,Single-Space,TOD,$5.00 - $6.00,4HR,34.056161,-118.24926
WW1661,3401 8TH ST,Single-Space,FLAT,$1.00 ,1HR,34.05777,-118.304396
VN1224,14500 W CALVERT ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.181606,-118.450604
WF339,501 S FAIRFAX AVE,Single-Space,FLAT,$1.00 ,1HR,34.066913,-118.361496
CB2343,1401 S SAN PEDRO ST,Single-Space,FLAT,$0.50 ,4HR,34.031072,-118.255285
SG185,7901 W SUNSET BLVD,Single-Space,FLAT,$1.00 ,1HR,34.098145,-118.36338
SP641,300 6TH ST,Single-Space,FLAT,$0.75 ,2HR,33.738808,-118.284323
CB1804,1000 S SANTEE ST,Single-Space,TOD,$1.00 - $4.00,2HR,34.037938,-118.255934
CB3686,700 S MAIN ST,Single-Space,TOD,$3.00 - $4.00,2HR,34.043052,-118.25254
VN1,7001 N VAN NUYS BLVD,Single-Space,FLAT,$1.00 ,2HR,34.198035,-118.44891
PB30,1300 S SYCAMORE AVE,Single-Space,FLAT,$1.00 ,2HR,34.048113,-118.348
WA284,2101 8TH ST,Single-Space,FLAT,$1.00 ,1HR,34.055253,-118.278444
LH51,2700 BROADWAY,Single-Space,FLAT,$1.00 ,1HR,34.07357,-118.213725
MD126,1901 MARENGO ST,Single-Space,FLAT,$1.00 ,4HR,34.057586,-118.209341
VW1946,800 WESTMORELAND AVE,Single-Space,FLAT,$1.00 ,2HR,34.056142,-118.289007
WW2019,600 SAINT ANDREWS PL,Single-Space,FLAT,$1.00 ,2HR,34.062496,-118.311497
CB3734,400 S MAIN ST,Single-Space,TOD,$0.50 - $3.00,2HR,34.047764,-118.247423
WV326,1100 S GLENDON AVE,Single-Space,TOD,$1.00 - $1.50,2HR,34.060118,-118.443576
PM108,3701 S DUNN DR,Single-Space,FLAT,$1.00 ,2HR,34.023409,-118.399995
CB3927E,800 S CECILIA ST,Single-Space,TOD,$1.50 - $3.00,2HR,34.039533,-118.25194
WF429,600 S SAN VICENTE BLVD,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.064864,-118.372168
W10,6200 W 98TH ST,Single-Space,FLAT,$1.00 ,2HR,33.947269,-118.394403
ED627,1001 S TOWNE AVE,Single-Space,TOD,$0.50 - $1.00,2HR,34.033962,-118.24987
VS531,1201 VERMONT AVE,Single-Space,FLAT,$1.00 ,2HR,34.093873,-118.291869
ED114,900 E 8TH ST,Single-Space,JUMP,$0.50/H - $2.00/10H,10HR,34.036245,-118.246592
LC425,8400 W MELROSE PL,Single-Space,FLAT,$1.00 ,2HR,34.083536,-118.375368
VW717,3301 WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.061881,-118.29468
VN708,14300 W SYLVAN ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.18459,-118.445686
CC968,900 W SUNSET BLVD,Single-Space,JUMP,$0.50/H - $2.00/6H,6HR,34.063698,-118.24771
WA1435,1301 WESTLAKE AVE,Single-Space,FLAT,$1.00 ,1HR,34.046482,-118.28155
SV26,1500 N IVAR AVE,Single-Space,TOD,$0.50 - $2.00,2HR,34.099318,-118.328338
VN230,14500 W GILMORE ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.187601,-118.449482
CB811,1101 S SANTEE ST,Single-Space,TOD,$0.50 - $5.00,2HR,34.037331,-118.256579
SS366,11600 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00 ,1HR,34.044382,-118.454349
CB36,701 S FLOWER ST,Single-Space,TOD,$3.00 - $6.00,2HR,34.047913,-118.25964
LM271,701 N POINSETTIA PL,Single-Space,FLAT,$1.00 ,2HR,34.083752,-118.348713
CB2556,700 S WALL ST,Single-Space,TOD,$0.50 - $6.00,2HR,34.040291,-118.250141
WF335,501 S FAIRFAX AVE,Single-Space,FLAT,$1.00 ,1HR,34.067179,-118.361498
PM124,3701 S CLARINGTON AVE,Single-Space,FLAT,$1.00 ,1HR,34.022862,-118.40066
WW1728,651 SERRANO AVE,Single-Space,FLAT,$1.00 ,1HR,34.060531,-118.306689
CB3573,700 S GRAND AVE,Single-Space,FLAT,$4.00 ,4HR,34.045987,-118.257678
BH277,1900 1ST ST,Single-Space,FLAT,$1.00 ,1HR,34.046028,-118.216486
WV34A,1001 S GAYLEY AVE,Single-Space,TOD,$1.00 - $2.00,30MIN,34.06167,-118.447878
MM241A,600 S BURNSIDE AVE,Single-Space,FLAT,$1.00 ,2HR,34.063081,-118.349261
WS34,1600 S WESTWOOD BLVD,Single-Space,FLAT,$1.00 ,2HR,34.052664,-118.43932
VW223,3001 7TH ST,Single-Space,FLAT,$1.00 ,2HR,34.059863,-118.289933
VH99,1701 VERMONT AVE,Single-Space,FLAT,$1.00 ,1HR,34.103303,-118.291874
C968,3650 VERMONT AVE,Single-Space,FLAT,$1.00 ,4HR,34.02171,-118.291404
GA176,3100 LOS FELIZ BLVD,Single-Space,FLAT,$1.00 ,2HR,34.123658,-118.267972
SS188,1501 S BARRY AVE,Single-Space,FLAT,$1.00 ,2HR,34.044462,-118.455303
CC377,300 S OLIVE ST,Single-Space,TOD,$2.00 - $3.00,2HR,34.051383,-118.250945
VW718,3301 WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.061881,-118.294743
CT440,700 N YALE ST,Single-Space,FLAT,$0.50 ,4HR,34.061954,-118.241322
WA913,701 CARONDELET ST,Single-Space,FLAT,$1.00 ,2HR,34.058095,-118.281304
BH156,400 SAINT LOUIS ST,Single-Space,FLAT,$1.00 ,2HR,34.048006,-118.211686
PR491,8500 W PICO BLVD,Single-Space,FLAT,$1.00 ,1HR,34.053495,-118.377575
HO216,1601 N IVAR AVE,Single-Space,TOD,$0.50 - $2.00,2HR,34.101113,-118.328245
WA342,901 ALVARADO ST,Single-Space,FLAT,$1.00 ,1HR,34.052597,-118.279401
WU431,1300 WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.054038,-118.267372
BF156,601 N SPAULDING AVE,Single-Space,FLAT,$1.00 ,2HR,34.083462,-118.357428
WB692,300 E WASHINGTON BLVD,Single-Space,FLAT,$0.50 ,4HR,34.02988,-118.262399
VN595A,14400 W CALVERT ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.181608,-118.447632
VM200,8401 VERMONT AVE,Single-Space,FLAT,$1.00 ,2HR,33.962014,-118.291813
WA1217,400 ALVARADO ST,Single-Space,FLAT,$1.00 ,1HR,34.060831,-118.27392
93107,3503 SUNSET BLVD,Multi-Space,FLAT,$1.00 ,2HR,34.088523,-118.276186
VW1652,2600 PICO BLVD,Single-Space,FLAT,$1.00 ,1HR,34.04716,-118.296462
LP184,4301 S LEIMERT BLVD,Single-Space,FLAT,$1.00 ,2HR,34.005234,-118.330061
BH99,501 SAINT LOUIS ST,Single-Space,FLAT,$1.00 ,2HR,34.048678,-118.211428
SV137,1501 N SCHRADER BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,34.099128,-118.332536
VN941A,6350 N VAN NUYS BLVD,Single-Space,FLAT,$1.00 ,2HR,34.186239,-118.448571
ED216A,701 E 12TH ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.033534,-118.252845
RA156,8600 W 3RD ST,Single-Space,FLAT,$2.00 ,2HR,34.0735,-118.379829
WA1429,2000 PICO BLVD,Single-Space,FLAT,$1.00 ,1HR,34.046848,-118.282018
WW1185,3701 6TH ST,Single-Space,FLAT,$1.00 ,30MIN,34.063634,-118.303448
CB2157A,1200 E 12TH ST,Single-Space,TOD,$0.50 - $2.00,2HR,34.034264,-118.255858
CB3336,101 W 9TH ST,Single-Space,TOD,$5.00 - $6.00,2HR,34.042166,-118.25568
WS813,11100 W MISSOURI AVE,Single-Space,FLAT,$1.00 ,2HR,34.044268,-118.441869
WS256,1901 S WESTWOOD BLVD,Single-Space,FLAT,$1.00 ,1HR,34.047442,-118.434934
WW2160,3500 WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.061641,-118.301153
C56,1300 30TH PL,Single-Space,FLAT,$1.00 ,1HR,34.026822,-118.292419
VN722A,6300 N SYLMAR AVE,Single-Space,FLAT,$1.00 ,2HR,34.185172,-118.446468
WU1120,301 BOYLSTON ST,Single-Space,FLAT,$1.00 ,2HR,34.05636,-118.258189
CB2046,301 E 14TH ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.03384,-118.258429
BF95,101 N FAIRFAX AVE,Single-Space,FLAT,$1.00 ,1HR,34.075494,-118.36153
VW1904,3300 4TH ST,Single-Space,FLAT,$1.00 ,2HR,34.067315,-118.291991
SV717,1401 N SYCAMORE AVE,Single-Space,FLAT,$0.50 ,2HR,34.097595,-118.34255
WA1088,1800 WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.056713,-118.273373
PM176,3801 S WATSEKA AVE,Single-Space,FLAT,$1.00 ,1HR,34.024115,-118.396739
CT583,1000 N BROADWAY,Single-Space,FLAT,$0.50 ,4HR,34.067479,-118.234962
WU344,600 S UNION DR,Single-Space,FLAT,$1.00 ,2HR,34.055905,-118.269708
WW802A,601 MARIPOSA AVE,Single-Space,FLAT,$1.00 ,1HR,34.062582,-118.299284
WS560,10901 W ASHTON AVE,Single-Space,FLAT,$1.00 ,2HR,34.05714,-118.446055
CB547A,1201 S MAPLE AVE,Single-Space,TOD,$1.50 - $5.00,2HR,34.035332,-118.256677
ED254,1200 S STANFORD AVE,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.031428,-118.250263
VW120,2800 JAMES M WOOD BLVD,Single-Space,FLAT,$1.00 ,1HR,34.055837,-118.290328
WA602,2401 WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.059988,-118.280012
AE48,200 GAREY ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.046194,-118.235084
WN11,600 AVALON BLVD,Single-Space,FLAT,$0.50 ,2HR,33.778108,-118.262194
WB470,2001 S FLOWER ST,Single-Space,JUMP,$1.00/H - $4.00/7H,7HR,34.032076,-118.272045
L219,600 N LARCHMONT BLVD,Single-Space,FLAT,$1.00 ,2HR,34.082524,-118.323542
W167,6201 W 98TH ST,Single-Space,FLAT,$1.00 ,2HR,33.947409,-118.395047
CB2290,600 E 9TH ST,Single-Space,TOD,$0.50 - $2.00,2HR,34.037635,-118.250822
VW1488,3201 4TH ST,Single-Space,FLAT,$1.00 ,2HR,34.067332,-118.291321
C961,3650 VERMONT AVE,Single-Space,FLAT,$1.00 ,4HR,34.021246,-118.291402
GA14,3201 GLENDALE BLVD,Single-Space,FLAT,$1.00 ,2HR,34.118187,-118.260939
SL224,2701 SUNSET BLVD,Single-Space,FLAT,$1.00 ,2HR,34.080987,-118.270636
SV208,6600 W SUNSET BLVD,Single-Space,FLAT,$0.50 ,2HR,34.097885,-118.333559
MM495,300 S LA BREA AVE,Single-Space,FLAT,$1.00 ,2HR,34.068024,-118.343902
AE412,500 VIGNES ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.052172,-118.233119
WS32,1600 S WESTWOOD BLVD,Single-Space,FLAT,$1.00 ,2HR,34.052553,-118.439228
SW143,1100 N ST ANDREWS PL,Single-Space,FLAT,$1.00 ,1HR,34.091538,-118.310833
MD33,1000 KINGSTON AVE,Single-Space,FLAT,$1.00 ,4HR,34.056929,-118.209497
SP872,601 BEACON ST,Single-Space,FLAT,$0.50 ,2HR,33.738522,-118.280468
CB861,1200 S LOS ANGELES ST,Single-Space,TOD,$0.50 - $4.00,2HR,34.036058,-118.258947
CB2513,500 S WALL ST,Single-Space,TOD,$2.00 - $4.00,4HR,34.044101,-118.246442
CB1545,1101 S LOS ANGELES ST,Single-Space,TOD,$0.50 - $3.00,2HR,34.038127,-118.257457
BF336,701 N LAUREL AVE,Single-Space,FLAT,$1.00 ,2HR,34.084088,-118.364883
P15A,1001 E SWARTHMORE AVE,Single-Space,FLAT,$1.00 ,2HR,34.047676,-118.525647
MM420,5900 W 6TH ST,Single-Space,FLAT,$1.00 ,4HR,34.064786,-118.357365
CC701,400 W CESAR E CHAVEZ BLVD,Single-Space,FLAT,$0.50 ,4HR,34.05898,-118.241274
SG119A,7200 W SUNSET BLVD,Single-Space,FLAT,$1.00 ,1HR,34.097899,-118.348939
WS551,10901 W ASHTON AVE,Single-Space,FLAT,$1.00 ,2HR,34.057317,-118.44538
PB245,1400 S OGDEN DR,Single-Space,FLAT,$1.00 ,2HR,34.050868,-118.364502
SH333,6400 W SANTA MONICA BLVD,Single-Space,FLAT,$0.50 ,2HR,34.090647,-118.330452
PR799A,8801 W CASHIO ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.052308,-118.384497
SW543,5101 W MARATHON ST,Single-Space,FLAT,$1.00 ,2HR,34.084951,-118.309653
WV678,10800 W WEYBURN AVE,Single-Space,TOD,$0.50 - $1.00,2HR,34.06214,-118.443107
BF605,8301 W MELROSE AVE,Single-Space,FLAT,$1.00 ,2HR,34.083765,-118.371006
SS57,1500 S BUTLER AVE,Single-Space,FLAT,$1.00 ,2HR,34.045829,-118.452091
SV315,6200 W SUNSET BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,34.097901,-118.325862
LM522,300 N VISTA ST,Single-Space,FLAT,$1.00 ,2HR,34.076424,-118.352163
BF329,8001 W MELROSE AVE,Single-Space,FLAT,$1.00 ,2HR,34.083868,-118.364306
SP103,501 7TH ST,Single-Space,FLAT,$0.50 ,2HR,33.737791,-118.289127
